packet_timestamp,time,vel_x,vel_y,vel_z,vel_mag
5284.25,5284.75,5.800000000000001,-0.025,0.1,5.801093251971733
5284.25,5284.85,6.845454545454545,-0.0909090909090909,0.1181818181818181,6.847222110336381
5284.25,5284.95,7.6,-0.08,0.2599999999999999,7.605101328786381
5284.25,5285.05,8.48,-0.01,0.2999999999999999,8.485365267864177
5284.25,5285.15,8.830000000000002,-0.0699999999999999,0.3199999999999999,8.836267050485057
5285.25,5285.25,9.2625,-0.025,0.4,9.27127391477375
5285.25,5285.35,9.836363636363636,-0.0545454545454545,0.3909090909090909,9.84468544256138
5285.25,5285.45,10.46,-0.01,0.47,10.47073722251452
5285.25,5285.55,11.070000000000002,0.0,0.47,11.08010887548251
5285.25,5285.65,11.77,0.0,0.5,11.780617724409112
5285.25,5285.75,12.466666666666669,0.0222222222222222,0.5,12.476780301029178
5285.25,5285.85,13.21,0.05,0.5299999999999999,13.220880201605716
5285.25,5285.95,13.910000000000002,0.12,0.5999999999999999,13.923507959586177
5285.25,5286.05,15.35,0.17,0.51,15.35952746602826
5285.25,5286.15,16.250000000000004,0.21,0.44,16.25742176173236
5286.25,5286.25,16.544444444444444,0.2666666666666667,0.4444444444444444,16.55270208703284
5286.25,5286.35,16.04,0.1,0.37,16.04469083872024
5286.25,5286.45,15.07,0.01,0.2999999999999999,15.073019283661788
5286.25,5286.55,13.97,-0.1699999999999999,0.18,13.972329997928847
5286.25,5286.65,12.933333333333332,-0.2444444444444444,0.0,12.935736671840983
5286.25,5286.75,12.239999999999998,-0.23,-0.15,12.243354140618038
5286.25,5286.85,11.766666666666667,-0.0555555555555555,-0.2,11.768600387387744
5286.25,5286.95,11.2,0.0,-0.19,11.201648652970848
5286.25,5287.05,10.372727272727271,0.0,-0.1090909090909091,10.373341963862991
5286.25,5287.15,9.655555555555557,0.0,-0.1222222222222222,9.656422767367024
5287.25,5287.25,9.0,0.01,-0.1,9.000611932026832
5287.25,5287.35,8.488888888888889,0.0111111111111111,-0.0444444444444444,8.489211326659463
5287.25,5287.45,7.955555555555557,0.0,-0.0444444444444444,7.955834201422779
5287.25,5287.55,7.681818181818182,0.009090909090909,-0.0545454545454545,7.682234534697894
5287.25,5287.65,7.400000000000001,0.0111111111111111,-0.0555555555555555,7.400449582114302
5287.25,5287.75,7.139999999999999,0.02,-0.02,7.140278735634409
5287.25,5287.85,6.910000000000001,0.0,-0.02,6.910143884890931
5287.25,5287.95,6.722222222222223,0.0,-0.0333333333333333,6.722635601748582
5287.25,5288.05,6.636363636363637,0.009090909090909,-0.0545454545454545,6.636838682346638
5287.25,5288.15,6.455555555555556,-0.0111111111111111,-0.0444444444444444,6.455986928767272
5288.25,5288.25,6.409999999999999,-0.01,-0.1,6.410858225741594
5288.25,5288.35,6.180000000000001,0.01,-0.1,6.181216283723791
5288.25,5288.45,6.077777777777778,-0.0333333333333333,-0.1,6.078872231342011
5288.25,5288.55,6.0,0.0,-0.1,6.00083340171608
5288.25,5288.65,6.040000000000001,-0.02,-0.1,6.040994620410075
5288.25,5288.75,6.088888888888889,-0.0111111111111111,-0.1,6.0897996607594
5288.25,5288.85,6.130000000000001,-0.01,-0.1,6.130896545576142
5288.25,5288.95,6.077777777777778,-0.0111111111111111,-0.1,6.078690211753947
5288.25,5289.05,6.118181818181818,0.0,-0.1272727272727273,6.119662363758656
5288.25,5289.15,6.15,-0.02,-0.1,6.150975630201481
5289.25,5289.25,6.011111111111111,-0.0111111111111111,-0.1555555555555555,6.013413647952088
5289.25,5289.35,6.090909090909091,0.0,-0.1454545454545454,6.092851231108941
5289.25,5289.45,6.144444444444445,-0.0111111111111111,-0.1444444444444445,6.146428565045015
5289.25,5289.55,6.16,0.0,-0.13,6.161541261070628
5289.25,5289.65,6.2,0.0,-0.1,6.20080665102315
5289.25,5289.75,6.166666666666667,-0.0111111111111111,-0.1777777777777777,6.16947346101443
5289.25,5289.85,6.336363636363637,0.0,-0.1,6.337152763306997
5289.25,5289.95,6.433333333333334,-0.0111111111111111,-0.1777777777777777,6.435999719273767
5289.25,5290.05,6.640000000000001,0.0,-0.2,6.643011528591624
5289.25,5290.15,6.76,0.0,-0.16,6.762072848855008
5290.25,5290.25,6.890000000000001,0.0,-0.19,6.892679707205916
5290.25,5290.35,7.08,0.0,-0.2,7.082824609564146
5290.25,5290.45,7.222222222222222,0.0,-0.2,7.224991132209094
