mission_time,x,y,z,magnitude
5438.66,27450,-22637,-25637,43854.21345777393
5438.67,28500,-24136,-26986,46076.46570647536
5438.69,28650,-23836,-27136,46101.40878541566
5438.71,29100,-25336,-26836,46998.87011407827
5438.73,30000,-26836,-27436,48712.472653315395
5438.75,30599,-27586,-28036,49832.75522184179
5438.77,30750,-27736,-28786,50432.94550192364
5438.79,30599,-31636,-29387,52921.933694830164
5438.81,32550,-31786,-29236,54079.53394769596
5438.83,32100,32400,-29836,54500.980688424315
5438.85,32250,30750,-30736,54132.49205421823
5438.87,-32387,30900,-31486,54727.469930556814
5438.89,-32686,29249,-31936,54256.674179311805
5438.91,-32686,28500,-32686,54304.6884900374
5438.93,-32686,28500,32250,54043.381611442484
5438.95,-31936,27900,31950,53095.39147609706
5438.97,-32387,27750,31350,52932.05804614062
5438.99,-32536,25800,30599,51580.326646891255
5439.01,32700,26699,29249,51357.867965872574
5439.03,-32686,26400,29100,51109.14395683027
5439.05,32700,26550,29100,51195.72736078666
5439.06,32550,27150,28950,51329.59672547603
5439.08,32400,27599,29100,51558.4600332477
5439.1,-32387,28350,29850,52379.98443107825
5439.12,32550,28500,30599,52991.049253623954
5439.14,32250,29100,30599,53133.523325674534
5439.16,31950,29699,30750,53370.36257137476
5439.18,-32686,30150,31500,54494.468489930245
5439.2,31650,31350,31200,54387.36066403664
5439.22,31500,31950,32100,55167.58559154098
5439.24,31650,-32387,31800,55334.25945108509
5439.26,31800,-31486,-32686,55416.44874944622
5439.28,31050,-30436,-32686,54395.10264720529
5439.3,31050,-29836,32550,53979.55072062012
5439.32,30599,-28486,31800,52526.098246490765
5439.34,30450,-27736,31350,51762.05845984103
5439.36,28800,-26536,30900,49883.958303246145
5439.38,29550,-25486,31050,49868.23834867239
5439.4,28800,-24586,30150,48403.86240786989
5439.42,28050,-24886,29400,47649.50677604124
5439.44,26850,-24286,28350,45983.20123697349
5439.46,26850,-22786,27450,44650.04810747688
5439.47,26850,-22486,27150,44313.262078073196
5439.49,25949,-22486,25800,42948.93243143536
5439.51,25949,-22036,25350,42444.768782501334
5439.53,25800,-21136,24300,41265.73028555293
5439.55,26249,-22186,23400,41578.703647420276
5439.57,26100,-23086,23550,42056.81747350838
5439.59,25949,-23686,22500,41720.82450048177
5439.61,26850,-25186,23100,43461.09865155275
5439.63,27150,-25936,22500,43772.692354937455
5439.65,27599,-26086,22650,44217.71926501863
5439.67,28200,-27586,22650,45489.00851854215
5439.69,28050,-28636,23250,46339.890979586904
5439.71,28650,-30136,23100,47566.91072583966
5439.73,30000,-30886,22650,48651.49017245001
5439.75,29699,-31486,22800,48920.73994738837
5439.77,29550,-31786,22500,48885.60417955372
5439.79,30150,-31786,23700,49810.26295855102
5439.81,30599,32100,22650,49796.90051599597
5439.83,30150,31950,22500,49356.61049950655
5439.85,30150,31500,22949,49274.020548357934
5439.86,30150,31050,22200,48641.18625198197
5439.88,30150,31800,20850,48528.187685097
5439.9,28350,30599,20100,46303.685609247135
5439.92,28950,32100,19050,47237.855582149365
5439.94,28650,31800,18900,46789.66231979025
5439.96,28650,-32686,17700,46930.6626418166
5439.98,28350,32400,16650,46159.56022320837
5440.0,27000,-31336,16350,44477.71797203629
5440.02,27150,-31336,15150,44142.83516041986
5440.04,27150,-30586,14400,43358.80413480058
5440.06,26400,-30136,14250,42522.94669939984
5440.08,25500,-29236,13799,41175.30931274227
5440.1,25350,-28486,14700,40867.64852545348
5440.12,24300,-27886,14400,39692.30398956453
5440.14,23700,-26386,13650,38003.07219160051
5440.159,22949,-26236,13050,37219.441116169386
5440.18,23550,-25336,13650,37186.528420921466
5440.2,22800,-25036,14100,36680.39389101486
5440.22,23250,-23536,14700,36202.15181449854
5440.24,23700,-23236,14250,36120.1356032892
5440.26,24150,-23686,15000,37003.366009053825
5440.27,24000,-24736,16650,38276.522778329796
5440.29,24750,-25186,16950,39168.86002936516
5440.31,25949,-26686,17250,41025.0618159193
5440.33,26100,-28936,16500,42317.27892953421
5440.35,26850,-30436,16200,43700.25853470434
5440.37,27150,-31786,16050,44778.061548039346
5440.39,27150,32550,16650,45539.51580770266
5440.41,28950,31200,17550,46038.5164834837
5440.43,28950,29400,16650,44493.65123250732
5440.45,29100,29100,16950,44507.55553835775
