mission_time,latitude,longitude
5704.09,47.9523776,-81.8110912
5704.09,47.952384,-81.811072
5704.17,47.952384,-81.811072
5704.2,47.9523872,-81.8110656
5704.26,47.9523872,-81.8110656
5704.3,47.9523936,-81.8110592
5704.34,47.9523936,-81.8110592
5704.39,47.9524,-81.81104
5704.41,47.9524,-81.81104
5704.49,47.9524032,-81.8110336
5704.49,47.9524032,-81.8110336
5704.58,47.9524032,-81.8110336
5704.59,47.9524128,-81.8110208
5704.66,47.9524128,-81.8110208
5704.69,47.952416,-81.8110144
5704.75,47.952416,-81.8110144
5704.8,47.9524224,-81.8109952
5704.83,47.9524224,-81.8109952
5704.89,47.9524256,-81.8109888
5704.9,47.9524256,-81.8109888
5704.99,47.9524256,-81.8109888
5705.0,47.9524352,-81.8109824
5705.08,47.9524352,-81.8109824
5705.1,47.9524384,-81.8109696
5705.17,47.9524384,-81.8109696
5705.19,47.9524448,-81.8109568
5705.25,47.9524448,-81.8109568
5705.3,47.9524512,-81.810944
5705.32,47.9524512,-81.810944
5705.39,47.9524576,-81.8109376
5705.4,47.9524576,-81.8109376
5705.49,47.9524576,-81.8109376
5705.49,47.952464,-81.8109184
5705.58,47.952464,-81.8109184
5705.59,47.9524704,-81.810912
5705.66,47.9524704,-81.810912
5705.69,47.9524768,-81.8109056
5705.74,47.9524768,-81.8109056
5705.79,47.95248,-81.8108928
5705.82,47.95248,-81.8108928
5705.89,47.9524864,-81.81088
5705.9,47.9524864,-81.81088
5705.99,47.9524864,-81.81088
5706.0,47.9524928,-81.8108736
5706.07,47.9524928,-81.8108736
5706.1,47.9524992,-81.8108608
5706.16,47.9524992,-81.8108608
5706.19,47.9525056,-81.8108544
5706.24,47.9525056,-81.8108544
5706.3,47.9525152,-81.8108352
5706.32,47.9525152,-81.8108352
5706.39,47.9525184,-81.8108288
5706.399,47.9525184,-81.8108288
5706.49,47.9525184,-81.8108288
5706.49,47.9525248,-81.8108224
5706.57,47.9525248,-81.8108224
5706.59,47.9525312,-81.8108032
5706.65,47.9525312,-81.8108032
5706.69,47.9525376,-81.8107968
5706.74,47.9525376,-81.8107968
5706.79,47.9525408,-81.810784
5706.82,47.9525408,-81.810784
5706.89,47.9525504,-81.8107776
5706.9,47.9525504,-81.8107776
5706.99,47.9525504,-81.8107776
5707.0,47.9525568,-81.8107712
5707.07,47.9525568,-81.8107712
5707.1,47.95256,-81.810752
5707.15,47.95256,-81.810752
5707.2,47.9525696,-81.8107456
5707.23,47.9525696,-81.8107456
5707.3,47.9525728,-81.8107328
5707.32,47.9525728,-81.8107328
5707.4,47.9525792,-81.81072
5707.4,47.9525792,-81.81072
5707.49,47.9525792,-81.81072
5707.49,47.9525824,-81.8107072
5707.56,47.9525824,-81.8107072
5707.59,47.9525856,-81.8107008
5707.64,47.9525856,-81.8107008
5707.69,47.9525952,-81.8106816
5707.73,47.9525952,-81.8106816
5707.79,47.9525984,-81.8106752
5707.81,47.9525984,-81.8106752
5707.89,47.9526048,-81.8106624
5707.9,47.9526048,-81.8106624
5707.98,47.9526048,-81.8106624
5707.99,47.9526144,-81.810656
5708.06,47.9526144,-81.810656
5708.09,47.9526176,-81.8106368
5708.14,47.9526176,-81.8106368
5708.2,47.952624,-81.8106304
5708.23,47.952624,-81.8106304
5708.29,47.9526304,-81.8106176
5708.31,47.9526304,-81.8106176
5708.4,47.9526368,-81.8106048
5708.4,47.9526368,-81.8106048
5708.48,47.9526368,-81.8106048
5708.49,47.95264,-81.810592
5708.56,47.95264,-81.810592
5708.59,47.9526496,-81.8105856
