mission_time,metres
5459.2,5557.279
5459.27,5555.831
5459.34,5553.58
5459.41,5889.619
5459.48,5888.281
5459.55,5886.776
5459.62,5885.437
5459.69,5883.097
5459.76,5883.097
5459.83,5881.091
5459.9,5880.422
5459.97,5879.252
5460.04,5878.918
5460.11,5876.913
5460.18,5875.243
5460.25,5872.237
5460.32,5870.4
5460.39,5868.898
5460.46,5867.396
5460.53,5866.561
5460.6,5866.728
5460.67,5864.226
5460.74,5864.059
5460.81,5863.225
5460.88,5860.724
5460.95,5859.223
5461.02,5856.556
5461.09,5854.89
5461.16,5852.224
5461.23,5850.725
5461.3,5848.227
5461.37,5845.564
5461.44,5844.732
5461.51,5849.393
5461.58,5860.724
5461.65,5872.404
5461.72,5877.581
5461.79,5878.918
5461.86,5877.08
5461.93,5873.573
5462.0,5869.065
5462.07,5869.065
5462.14,5872.404
5462.21,5880.756
5462.28,5889.285
5462.35,5891.962
5462.42,5890.958
5462.49,5886.441
5462.559,5878.082
5462.63,5871.068
5462.7,5864.393
5462.77,5862.391
5462.84,5862.725
5462.91,5864.893
5462.98,5865.56
5463.05,5865.06
5463.12,5860.39
5463.19,5853.556
5463.26,5843.067
5463.33,5829.102
5463.4,5815.989
5463.47,5807.865
5463.54,5803.724
5463.61,5801.737
5463.68,5801.074
5463.75,5801.074
5463.82,5799.75
5463.89,5797.93
5463.96,5795.779
5464.03,5794.455
5464.1,5791.477
5464.17,5788.501
5464.24,5787.014
5464.31,5785.196
5464.38,5784.699
5464.45,5783.213
5464.52,5781.726
5464.59,5780.57
5464.66,5779.249
5464.73,5776.937
5464.8,5773.47
5464.87,5771.16
5464.94,5768.851
5465.01,5766.872
5465.08,5765.058
5465.15,5764.729
5465.22,5766.542
5465.29,5773.966
5465.36,5787.675
5465.43,5801.406
5465.5,5811.844
5465.57,5816.155
5465.64,5815.491
5465.71,5812.507
5465.78,5809.689
5465.85,5806.375
5465.92,5802.234
5465.99,5795.944
5466.06,5790.485
5466.13,5784.534
5466.2,5779.579
5466.27,5774.956
5466.34,5766.872
5466.41,5760.114
5466.48,5752.867
5466.55,5748.095
5466.62,5744.64
5466.69,5741.68
5466.76,5739.051
5466.83,5734.614
5466.9,5729.852
5466.97,5726.898
5467.039,5724.272
5467.11,5722.303
5467.18,5720.335
5467.25,5718.039
5467.32,5716.729
5467.39,5714.925
5467.46,5715.908
5467.53,5715.745
5467.6,5719.187
5467.67,5724.928
5467.69,0.0
5467.74,5739.872
5467.79,1241.3
5467.81,5748.589
5467.88,5752.044
5467.95,5749.905
5468.02,5745.463
5468.09,5742.667
5468.16,5739.708
5468.23,5736.093
5468.3,5730.837
5468.37,5725.256
5468.44,5721.319
5468.51,5718.696
5468.58,5718.86
5468.59,0.0
5468.65,5721.319
5468.72,5723.287
5468.79,5725.42
5468.86,5724.928
5468.93,5723.616
5469.0,5722.303
5469.07,5724.6
5469.14,5724.928
5469.21,5720.664
5469.28,5716.565
5469.35,5713.123
5469.42,5709.192
5469.49,5706.08
5469.56,5702.807
5469.63,5702.807
5469.7,5705.753
5469.77,5708.7
5469.84,5705.098
5469.91,5698.063
5469.98,5691.359
5470.05,5689.889
5470.12,5689.889
5470.19,5696.264
5470.26,5702.643
5470.33,5701.989
5470.4,5694.465
5470.47,5683.192
5470.54,5676.827
5470.61,5674.707
5470.68,5670.14
5470.75,5656.459
5470.82,5657.76
5470.89,5652.228
5470.96,5647.025
5471.03,5643.611
5471.1,5638.412
5471.17,5634.678
5471.24,5632.082
5471.31,5629.972
5471.38,5629.648
5471.45,5629.648
5471.519,5629.323
5471.59,5627.052
5471.66,5623.485
5471.73,5622.188
5471.8,5619.92
5471.87,5618.785
5471.94,5617.489
5472.01,5615.545
5472.08,5614.736
5472.15,5613.602
5472.22,5612.793
5472.29,5611.821
5472.36,5611.173
5472.43,5610.04
5472.5,5608.422
5472.57,5605.186
5472.64,5602.598
5472.71,5601.467
5472.78,5599.85
5472.85,5598.071
5472.92,5595.809
5472.99,5594.355
5473.06,5593.062
5473.13,5591.609
5473.2,5590.479
5473.27,5589.025
5473.34,5586.765
5473.41,5586.281
5473.48,5585.796
5473.55,5586.443
5473.62,5587.088
5473.69,5588.703
5473.76,5589.187
5473.83,5589.51
5473.9,5592.417
5473.97,5599.85
5474.04,5608.26
5474.11,5615.869
5474.18,5620.082
5474.25,5617.651
5474.32,5611.011
5474.39,5598.395
5474.46,5580.795
5474.53,5567.901
5474.6,5563.232
5474.67,5559.048
5474.74,5556.635
5474.81,5554.385
5474.88,5552.937
5474.95,5553.58
5475.02,5562.749
5475.09,5585.313
5475.16,5597.263
5475.23,5595.648
5475.3,5581.279
5475.37,5557.761
5475.44,5545.063
5475.51,5540.888
5475.58,5538.16
5475.65,5538.321
5475.72,5548.115
5475.79,5556.153
5475.86,5553.902
5475.93,5543.458
5475.999,5535.592
5476.07,5531.423
5476.14,5528.376
5476.21,5524.37
5476.28,5522.127
5476.35,5523.889
5476.42,5115.321
5476.49,5128.152
5476.56,5137.94
5476.63,5141.308
5476.7,5142.686
5476.77,5142.686
5476.84,5138.706
5476.91,5132.128
5476.98,5126.929
5477.05,5121.123
5477.12,5115.779
5477.19,5108.913
5477.26,5101.443
5477.33,5092.457
5477.4,5085.002
5477.47,5083.177
5477.54,5081.049
5477.61,5077.705
5477.68,5074.819
5477.75,5074.515
5477.82,5081.961
5477.89,5097.482
5477.96,5103.576
5478.03,5098.549
5478.1,5089.11
5478.17,5078.009
5478.24,5070.414
5478.31,5067.075
5478.38,5064.647
5478.45,5062.675
5478.52,5060.552
5478.59,5061.007
5478.66,5067.379
5478.73,5081.656
5478.8,5091.239
5478.87,5092.457
5478.94,5079.377
5479.01,5055.701
5479.08,5050.701
5479.15,5047.218
5479.22,5044.947
5479.29,5044.039
5479.36,5051.61
5479.43,5071.781
5479.5,5082.417
5479.57,5072.54
5479.64,5055.853
5479.71,5042.98
5479.78,5038.593
5479.85,5034.056
5479.92,5031.94
5479.99,5029.22
5480.06,5027.559
5480.13,5026.803
5480.2,5026.048
5480.27,5023.934
5480.34,5025.747
5480.41,5036.324
5480.479,5051.761
5480.55,5061.462
5480.62,5063.888
5480.69,5060.097
5480.76,5054.944
5480.83,5049.338
5480.9,5042.375
5480.97,5035.871
5481.04,5028.767
5481.11,5022.878
5481.18,5016.69
5481.25,5013.221
5481.32,5010.055
5481.39,5007.191
5481.46,5004.781
5481.53,5003.726
5481.6,5002.07
5481.67,4999.51
5481.74,4997.101
5481.81,4994.844
5481.88,4991.384
5481.95,4988.377
5482.02,4987.625
5482.09,4986.122
5482.16,4986.422
5482.23,4990.03
5482.3,5000.113
5482.37,5005.082
5482.44,4994.693
5482.51,4991.535
5482.58,4983.867
5482.65,4980.863
5482.72,4977.858
5482.79,4975.156
5482.86,4973.956
5482.93,4972.454
5483.0,4969.754
5483.07,4966.154
5483.14,4965.405
5483.21,4963.156
5483.28,4961.207
5483.35,4960.608
5483.42,4959.559
5483.49,4959.259
5483.56,4958.51
5483.63,4956.863
5483.7,4955.964
5483.77,4954.317
5483.84,4954.317
5483.91,4955.215
5483.98,4958.66
5484.05,4963.456
5484.12,4968.404
5484.19,4971.404
5484.26,4972.605
5484.33,4973.505
5484.4,4975.006
5484.47,4974.856
5484.54,4974.406
5484.61,4972.605
5484.68,4970.504
5484.75,4966.154
5484.82,4960.907
5484.89,4956.863
5484.959,4955.364
5485.03,4952.37
5485.1,4948.927
5485.17,4942.494
5485.24,4939.206
5485.31,4935.619
5485.38,4933.677
5485.45,4932.929
5485.52,4932.929
5485.59,4932.781
5485.66,4929.495
5485.73,4924.569
5485.8,4919.647
5485.87,4915.174
5485.94,4911.002
5486.01,4909.364
5486.08,4906.385
5486.15,4904.152
5486.22,4902.812
5486.29,4901.771
5486.36,4900.878
5486.43,4901.92
5486.5,4902.812
5486.57,4904.747
5486.64,4906.236
5486.71,4910.554
5486.78,4916.218
5486.85,4921.586
5486.92,4923.823
5486.99,4923.973
5487.06,4920.243
5487.13,4915.771
5487.2,4911.597
5487.27,4906.534
5487.34,4902.514
5487.41,4898.795
5487.48,4896.563
5487.55,4895.076
5487.62,4893.886
5487.69,4891.657
5487.76,4891.211
5487.83,4891.211
5487.9,4890.468
5487.97,4891.954
5488.04,4891.954
5488.11,4892.995
5488.18,4889.13
5488.25,4886.16
5488.32,4881.556
5488.39,4877.698
5488.46,4874.581
5488.53,4871.615
5488.6,4870.874
5488.67,4871.171
5488.74,4871.615
5488.81,4874.433
5488.88,4877.252
5488.95,4878.142
5489.02,4874.284
5489.09,4865.39
5489.16,4852.213
5489.23,4841.863
5489.3,4837.431
5489.37,4834.921
5489.439,4834.478
5489.51,4834.626
5489.58,4836.693
5489.65,4836.398
5489.72,4840.681
5489.79,4848.811
5489.86,4856.208
5489.93,4857.096
5490.0,4852.656
5490.07,4846.593
5490.14,4840.829
5490.21,4833.002
5490.28,4823.119
5490.35,4815.603
5490.42,4814.572
5490.49,4814.131
5490.56,4813.836
5490.63,4813.099
5490.7,4814.131
5490.77,4817.371
5490.84,4821.202
5490.91,4824.151
5490.98,4827.543
5491.05,4826.51
5491.12,4817.666
5491.19,4804.563
5491.26,4798.239
5491.33,4794.86
5491.4,4794.124
5491.47,4793.831
5491.54,4793.096
5491.61,4794.271
5491.68,4795.3
5491.75,4797.358
5491.82,4800.739
5491.89,4803.827
5491.96,4808.241
5492.03,4810.743
