mission_time,pascals
5335.44,37323
5335.51,37324
5335.58,37331
5335.65,37339
5335.72,37339
5335.79,37337
5335.86,37279
5335.93,37236
5336.0,37218
5336.07,37202
5336.14,37185
5336.21,37174
5336.28,37214
5336.35,37221
5336.42,37238
5336.49,37233
5336.56,37227
5336.63,37278
5336.7,37269
5336.77,37282
5336.84,37310
5336.91,37304
5336.98,37306
5337.05,37308
5337.119,37296
5337.19,37282
5337.26,37273
5337.33,37257
5337.4,37245
5337.47,37198
5337.54,37198
5337.61,37248
5337.68,37376
5337.75,37528
5337.82,37586
5337.89,37604
5337.96,37610
5338.03,37617
5338.1,37617
5338.17,37625
5338.24,37634
5338.31,37638
5338.38,37645
5338.45,37653
5338.52,37658
5338.59,37664
5338.66,37677
5338.73,37685
5338.8,37691
5338.87,37697
5338.94,37706
5339.01,37702
5339.08,37694
5339.15,37699
5339.22,37721
5339.29,37730
5339.36,37747
5339.43,37750
5339.5,37763
5339.57,37775
5339.64,37779
5339.71,37786
5339.78,37799
5339.85,37807
5339.92,37816
5339.99,37821
5340.06,37824
5340.13,37820
5340.2,37766
5340.27,37688
5340.34,37619
5340.41,37598
5340.48,37610
5340.55,37640
5340.62,37667
5340.69,37716
5340.76,37779
5340.83,37860
5340.9,37905
5340.97,37925
5341.04,37928
5341.11,37925
5341.18,37920
5341.25,37910
5341.32,37907
5341.39,37931
5341.46,37962
5341.53,37976
5341.599,37981
5341.67,37970
5341.74,37959
5341.81,37944
5341.88,37918
5341.95,37918
5342.02,37892
5342.09,37823
5342.16,37732
5342.23,37654
5342.3,37628
5342.37,37673
5342.44,37741
5342.51,37792
5342.58,37825
5342.65,37846
5342.72,37883
5342.79,37932
5342.86,37995
5342.93,38001
5343.0,37968
5343.07,37924
5343.14,37886
5343.21,37899
5343.28,37968
5343.35,38030
5343.42,38073
5343.49,38123
5343.56,38086
5343.63,38126
5343.7,38120
5343.77,38139
5343.84,38156
5343.91,38137
5343.98,38098
5344.05,38051
5344.12,38010
5344.19,38006
5344.26,38073
5344.33,38186
5344.4,38290
5344.47,38341
5344.54,38358
5344.61,38371
5344.68,38379
5344.75,38389
5344.82,38402
5344.89,38417
5344.96,38417
5345.03,38417
5345.1,38416
5345.17,38418
5345.24,38407
5345.31,38388
5345.38,38331
5345.45,38247
5345.52,38131
5345.59,38103
5345.66,38207
5345.73,38360
5345.8,38473
5345.87,38515
5345.94,38528
5346.01,38532
5346.079,38538
5346.15,38543
5346.22,38546
5346.29,38555
5346.36,38557
5346.43,38562
5346.5,38575
5346.57,38568
5346.64,38565
5346.71,38580
5346.78,38564
5346.85,38586
5346.92,38605
5346.99,38618
5347.06,38631
5347.13,38606
5347.2,38574
5347.27,38536
5347.34,38488
5347.41,38454
5347.48,38437
5347.55,38464
5347.62,38548
5347.69,38617
5347.76,38641
5347.83,38647
5347.9,38643
5347.97,38643
5348.04,38630
5348.11,38616
5348.18,38599
5348.25,38564
5348.32,38539
5348.39,38550
5348.46,38604
5348.53,38682
5348.6,38752
5348.67,38807
5348.74,38840
5348.81,38862
5348.88,38882
5348.95,38885
5349.02,38894
5349.09,38899
5349.16,38908
5349.23,38909
5349.3,38906
5349.37,38907
5349.44,38916
5349.51,38927
5349.58,38933
5349.65,38941
5349.72,38949
5349.79,38958
5349.86,38958
5349.93,38948
5350.0,38935
5350.07,38937
5350.14,38972
5350.21,38998
5350.28,39017
5350.35,39012
5350.42,39000
5350.49,38976
5350.559,38967
5350.63,38976
5350.7,39014
5350.77,39032
5350.84,39037
5350.91,39015
5350.98,39005
5351.05,39041
5351.12,39083
5351.19,39119
5351.26,39132
5351.33,39140
5351.4,39148
5351.47,39152
5351.54,39164
5351.61,39170
5351.68,39180
5351.75,39190
5351.82,39197
5351.89,39193
5351.96,39198
5352.03,39208
5352.1,39216
5352.17,39229
5352.24,39233
5352.31,39223
5352.38,39177
5352.45,39098
5352.52,39006
5352.59,38984
5352.66,39020
5352.73,39039
5352.8,39038
5352.87,39024
5352.94,38992
5353.01,38974
5353.08,39015
5353.15,39075
5353.22,39087
5353.29,39081
5353.36,39082
5353.43,39109
5353.5,39166
5353.57,39245
5353.64,39284
5353.71,39326
5353.78,39369
5353.85,39402
5353.92,39428
5353.99,39442
5354.06,39442
5354.13,39451
5354.2,39453
5354.27,39447
5354.34,39442
5354.41,39442
5354.48,39469
5354.55,39482
5354.62,39487
5354.69,39464
5354.76,39440
5354.83,39447
5354.9,39497
5354.97,39537
5355.039,39558
5355.11,39559
5355.18,39527
5355.25,39445
5355.32,39367
5355.39,39321
5355.46,39327
5355.53,39377
5355.6,39406
5355.67,39415
5355.74,39403
5355.81,39392
5355.88,39401
5355.95,39419
5356.02,39417
5356.09,39399
5356.16,39403
5356.23,39476
5356.3,39593
5356.37,39687
5356.44,39742
5356.51,39758
5356.58,39768
5356.65,39775
5356.72,39780
5356.79,39785
5356.86,39789
5356.93,39790
5357.0,39794
5357.07,39799
5357.14,39818
5357.21,39813
5357.28,39781
5357.35,39716
5357.42,39687
5357.49,39773
5357.56,39824
5357.63,39879
5357.7,39896
5357.77,39903
5357.84,39910
5357.91,39919
5357.98,39918
5358.05,39929
5358.12,39934
5358.19,39941
5358.26,39949
5358.33,39950
5358.4,39950
5358.47,39939
5358.54,39946
5358.61,39938
5358.68,39920
5358.75,39880
5358.82,39841
5358.89,39829
5358.96,39874
5359.03,39965
5359.1,40011
5359.17,40041
5359.24,40050
5359.31,40059
5359.38,40080
5359.45,40095
5359.519,40112
5359.59,40120
5359.66,40123
5359.73,40129
5359.8,40145
5359.87,40154
5359.94,40168
5360.01,40171
5360.08,40172
5360.15,40178
5360.22,40186
5360.29,40195
5360.36,40207
5360.43,40209
5360.5,40208
5360.57,40206
5360.64,40214
5360.71,40205
5360.78,40167
5360.85,40134
5360.92,40113
5360.99,40119
5361.06,40151
5361.13,40196
5361.2,40253
5361.27,40293
5361.34,40304
5361.41,40317
5361.48,40325
5361.55,40326
5361.62,40331
5361.69,40333
5361.76,40330
5361.83,40335
5361.9,40345
5361.97,40359
5362.04,40366
5362.11,40366
5362.18,40338
5362.25,40278
5362.32,40210
5362.39,40176
5362.46,40187
5362.53,40201
5362.6,40237
5362.67,40285
5362.74,40358
5362.81,40431
5362.88,40488
5362.95,40507
5363.02,40522
5363.09,40528
5363.16,40539
5363.23,40550
5363.3,40557
5363.37,40555
5363.44,40557
5363.51,40563
5363.58,40571
5363.65,40575
5363.72,40591
5363.79,40603
5363.86,40610
5363.93,40616
5363.999,40621
5364.07,40627
5364.14,40637
5364.21,40640
5364.28,40654
5364.35,40662
5364.42,40667
5364.49,40671
5364.56,40674
5364.63,40689
5364.7,40704
5364.77,40713
5364.84,40716
5364.91,40721
5364.98,40729
5365.05,40736
5365.12,40737
5365.19,40738
5365.26,40747
5365.33,40762
5365.4,40763
5365.47,40752
5365.54,40706
5365.61,40625
5365.68,40542
5365.75,40507
5365.82,40500
5365.89,40516
5365.96,40549
5366.03,40572
5366.1,40583
5366.17,40598
5366.24,40622
5366.31,40641
5366.38,40651
5366.45,40661
5366.52,40644
5366.59,40612
5366.66,40608
5366.73,40635
5366.8,40664
5366.87,40694
5366.94,40700
5367.01,40688
5367.08,40680
5367.15,40689
5367.22,40703
5367.29,40751
5367.36,40805
5367.43,40848
5367.5,40876
5367.57,40909
5367.64,40947
5367.71,40988
5367.78,41012
5367.85,41031
5367.92,41050
5367.99,41075
5368.06,41079
5368.13,41088
5368.2,41100
5368.27,41108
5368.34,41116
5368.41,41127
5368.479,41138
5368.55,41143
5368.62,41155
5368.69,41164
5368.76,41168
5368.83,41184
5368.9,41189
5368.97,41199
5369.04,41205
5369.11,41221
5369.18,41217
5369.25,41229
5369.32,41237
5369.39,41248
5369.46,41258
5369.53,41264
5369.6,41277
5369.67,41278
5369.74,41292
5369.81,41298
5369.88,41308
5369.95,41317
5370.02,41320
5370.09,41324
5370.16,41330
5370.23,41337
5370.3,41347
5370.37,41349
5370.44,41354
5370.51,41366
5370.58,41362
5370.65,41317
5370.72,41256
5370.79,41219
5370.86,41237
5370.93,41325
5371.0,41413
5371.07,41451
5371.14,41463
5371.21,41475
5371.28,41484
5371.35,41475
5371.42,41472
5371.49,41486
5371.56,41455
5371.63,41376
5371.7,41306
5371.77,41265
5371.84,41248
5371.91,41277
5371.98,41369
5372.05,41488
5372.12,41576
5372.19,41598
5372.26,41602
5372.33,41589
5372.4,41586
5372.47,41552
5372.54,41441
5372.61,41394
5372.68,41396
5372.75,41431
5372.82,41494
5372.89,41571
5372.959,41637
5373.03,41664
5373.1,41672
5373.17,41674
5373.24,41667
5373.31,41642
5373.38,41622
5373.45,41585
5373.52,41550
5373.59,41527
5373.66,41503
5373.73,41474
5373.8,41479
5373.87,41516
5373.94,41592
5374.01,41714
5374.08,41773
5374.15,41815
5374.22,41831
5374.29,41838
5374.36,41846
5374.43,41842
5374.5,41855
5374.57,41867
5374.64,41874
5374.71,41873
5374.78,41876
5374.85,41861
5374.92,41824
5374.99,41763
5375.06,41728
5375.13,41737
5375.2,41765
5375.27,41812
5375.34,41828
5375.41,41832
5375.48,41842
5375.55,41888
5375.62,41952
5375.69,41997
5375.76,42012
5375.83,42017
5375.9,42022
5375.97,42028
5376.04,42035
5376.11,42039
5376.18,42043
5376.25,42049
5376.32,42037
5376.39,41998
5376.46,41965
5376.53,41974
5376.6,42010
5376.67,42070
5376.74,42125
5376.81,42151
5376.88,42162
5376.95,42161
5377.02,42157
5377.09,42153
5377.16,42154
5377.23,42157
5377.3,42125
5377.37,42112
5377.439,42131
5377.51,42172
5377.58,42214
5377.65,42244
5377.72,42260
5377.79,42272
5377.86,42281
5377.93,42289
5378.0,42286
5378.07,42285
5378.14,42279
5378.21,42289
5378.28,42257
5378.35,42212
5378.42,42183
5378.49,42213
5378.56,42266
5378.63,42336
5378.7,42368
5378.77,42384
5378.84,42385
5378.91,42375
5378.98,42327
5379.05,42200
5379.12,42145
5379.19,42152
5379.26,42182
5379.33,42225
5379.4,42267
5379.47,42296
5379.54,42333
5379.61,42393
5379.68,42456
5379.75,42495
5379.82,42508
5379.89,42508
5379.96,42496
5380.03,42494
5380.1,42483
5380.17,42464
5380.24,42432
5380.31,42409
5380.38,42397
5380.45,42393
5380.52,42398
5380.59,42436
5380.66,42516
5380.73,42593
5380.8,42617
5380.87,42628
5380.94,42630
5381.01,42628
5381.08,42632
5381.15,42644
5381.22,42650
5381.29,42664
5381.36,42661
5381.43,42637
5381.5,42561
5381.57,42475
5381.64,42507
5381.71,42645
5381.78,42741
5381.85,42760
5381.919,42757
5381.99,42744
5382.06,42736
5382.13,42743
5382.2,42741
5382.27,42704
5382.34,42607
5382.41,42516
5382.48,42527
5382.55,42679
5382.62,42812
5382.69,42833
5382.76,42832
5382.83,42841
5382.9,42839
5382.97,42801
5383.04,42709
5383.11,42618
5383.18,42585
5383.25,42686
5383.32,42834
5383.39,42911
5383.46,42930
5383.53,42940
5383.6,42946
5383.67,42950
5383.74,42957
5383.81,42954
5383.88,42957
5383.95,42962
5384.02,42930
5384.09,42866
5384.16,42815
5384.23,42828
5384.3,42908
5384.37,43019
5384.44,43048
5384.51,43058
5384.58,43057
5384.65,43058
5384.72,43035
5384.79,42952
5384.86,42962
5384.93,43089
5385.0,43120
5385.07,43118
5385.14,43115
5385.21,43115
