mission_time,celsius
5453.11,22.34
5453.18,22.34
5453.25,22.35
5453.32,22.36
5453.39,22.36
5453.46,22.35
5453.53,22.35
5453.599,22.35
5453.67,22.35
5453.74,22.34
5453.81,22.34
5453.88,22.34
5453.95,22.34
5454.02,22.34
5454.09,22.34
5454.16,22.34
5454.23,22.33
5454.3,22.33
5454.37,22.33
5454.44,22.33
5454.51,22.31
5454.58,22.27
5454.65,22.23
5454.72,22.21
5454.79,22.21
5454.86,22.22
5454.93,22.23
5455.0,22.25
5455.07,22.27
5455.14,22.29
5455.21,22.29
5455.28,22.29
5455.35,22.29
5455.42,22.29
5455.49,22.29
5455.56,22.26
5455.63,22.22
5455.7,22.2
5455.77,22.2
5455.84,22.2
5455.91,22.21
5455.98,22.22
5456.05,22.23
5456.12,22.24
5456.19,22.24
5456.26,22.24
5456.33,22.24
5456.4,22.24
5456.47,22.24
5456.54,22.23
5456.61,22.23
5456.68,22.24
5456.75,22.23
5456.82,22.23
5456.89,22.23
5456.96,22.23
5457.03,22.22
5457.1,22.22
5457.17,22.2
5457.24,22.19
5457.31,22.18
5457.38,22.18
5457.45,22.18
5457.52,22.18
5457.59,22.17
5457.66,22.16
5457.73,22.14
5457.8,22.13
5457.87,22.13
5457.94,22.12
5458.01,22.13
5458.079,22.14
5458.15,22.14
5458.22,22.14
5458.29,22.15
5458.36,22.16
5458.43,22.17
5458.5,22.18
5458.57,22.18
5458.64,22.18
5458.71,22.17
5458.78,22.17
5458.85,22.17
5458.92,22.17
5458.99,22.17
5459.06,22.16
5459.13,22.16
5459.2,22.16
5459.27,22.16
5459.34,22.15
5459.41,22.15
5459.48,22.15
5459.55,22.15
5459.62,22.14
5459.69,22.14
5459.76,22.14
5459.83,22.14
5459.9,22.13
5459.97,22.14
5460.04,22.13
5460.11,22.13
5460.18,22.13
5460.25,22.12
5460.32,22.12
5460.39,22.12
5460.46,22.12
5460.53,22.11
5460.6,22.11
5460.67,22.11
5460.74,22.1
5460.81,22.1
5460.88,22.1
5460.95,22.1
5461.02,22.1
5461.09,22.09
5461.16,22.09
5461.23,22.09
5461.3,22.09
5461.37,22.08
5461.44,22.08
5461.51,22.06
5461.58,22.04
5461.65,22.03
5461.72,22.02
5461.79,22.02
5461.86,22.01
5461.93,22.02
5462.0,22.02
5462.07,22.01
5462.14,22.0
5462.21,21.98
5462.28,21.97
5462.35,21.97
5462.42,21.97
5462.49,21.97
5462.559,21.98
5462.63,21.98
5462.7,21.98
5462.77,21.98
5462.84,21.97
5462.91,21.97
5462.98,21.97
5463.05,21.97
5463.12,21.97
5463.19,21.98
5463.26,21.99
5463.33,22.0
5463.4,22.01
5463.47,22.02
5463.54,22.02
5463.61,22.01
5463.68,22.01
5463.75,22.01
5463.82,22.01
5463.89,22.01
5463.96,22.0
5464.03,22.0
5464.1,22.0
5464.17,21.99
5464.24,21.99
5464.31,21.98
5464.38,21.98
5464.45,21.98
5464.52,21.98
5464.59,21.97
5464.66,21.97
5464.73,21.97
5464.8,21.97
5464.87,21.96
5464.94,21.96
5465.01,21.96
5465.08,21.96
5465.15,21.95
5465.22,21.94
5465.29,21.93
5465.36,21.91
5465.43,21.89
5465.5,21.88
5465.57,21.87
5465.64,21.87
5465.71,21.87
5465.78,21.87
5465.85,21.87
5465.92,21.87
5465.99,21.87
5466.06,21.88
5466.13,21.88
5466.2,21.88
5466.27,21.89
5466.34,21.89
5466.41,21.89
5466.48,21.9
5466.55,21.9
5466.62,21.89
5466.69,21.89
5466.76,21.89
5466.83,21.9
5466.9,21.9
5466.97,21.9
5467.039,21.89
5467.11,21.89
5467.18,21.89
5467.25,21.89
5467.32,21.89
5467.39,21.89
5467.46,21.88
5467.53,21.88
5467.6,21.87
5467.67,21.85
5467.74,21.84
5467.81,21.82
5467.88,21.81
